,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,434,2,6,0,63,1,1,1,0,0,0,0,0,0,1
1,2,57,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,1,1,0,4,0,0,10,0,0,0,0,0,0
3,0,3,1,65,0,0,0,0,0,0,0,0,0,0,0
4,0,0,2,0,281,1,1,1,0,0,0,1,0,0,0
5,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0
6,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
7,3,1,6,2,0,3,3,138,1,1,0,8,0,0,0
8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
9,2,0,1,0,0,0,0,15,0,6,0,5,0,0,0
10,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0
12,0,0,0,0,0,0,1,0,0,1,1,0,3,0,0
13,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
