Experiment ID,Level,Variant
A1,1,7
A2,1,5
A3,1,9
A4,4,9
A5,4,5
A6,4,7
A7,7,5
A8,7,7
A9,7,9
B1,1,6
B2,1,8
B3,1,10
B4,4,10
B5,4,6
B6,4,8
B7,7,6
B8,7,8
B9,7,10
C1,1,7
C2,1,9
C3,1,5
C4,4,7
C5,4,9
C6,4,5
C7,7,5
C8,7,9
C9,7,7
D1,1,8
D2,1,10
D3,1,6
D4,4,10
D5,4,8
D6,4,6
D7,7,6
D8,7,10
D9,7,8
E1,1,5
E2,1,9
E3,1,7
E4,4,5
E5,4,7
E6,4,9
E7,7,7
E8,7,9
E9,7,5
F1,1,6
F2,1,10
F3,1,8
F4,4,10
F5,4,6
F6,4,8
F7,7,6
F8,7,10
F9,7,8
G1,1,5
G2,1,7
G3,1,9
G4,4,7
G5,4,5
G6,4,9
G7,7,7
G8,7,9
G9,7,5
H1,1,5
H2,1,7
H3,1,9
H4,4,7
H5,4,5
H6,4,9
H7,7,7
H8,7,9
H9,7,5
