ID,Start time,Completion time,Email,Name,Please provide the ID for the game you just played. You can find this information in the excel sheet.,How well did LeaderBot understand you?,"If applicable, provide any specific examples of LeaderBot utterances that, in your opinion, showed a lack of understanding.",How natural were LeaderBot's instructions?,"If applicable, provide any specific examples of LeaderBot utterances that felt unnatural.",How helpful were LeaderBot's instructions?,"If applicable, provide examples of LeaderBot utterances that you found unhelpful.","Overall, how satisfied were you with the collaboration with LeaderBot?",What could LeaderBot have done better?
1,3/29/23 13:40:05,3/29/23 13:41:42,anonymous,,TEST,4,,4,,4,,4,
2,3/29/23 14:56:07,3/29/23 14:57:22,anonymous,,B1,4,,3,,5,,5,Natural language
3,3/29/23 14:59:27,3/29/23 15:02:14,anonymous,,C1,3,"I don't understand, can you rephrase.",5,,4,,3,Help me better with clarification
4,3/29/23 15:02:45,3/29/23 15:05:02,anonymous,,E1,4,,5,,5,,5,
5,3/29/23 15:05:39,3/29/23 15:06:19,anonymous,,B2,3,,4,,5,,4,
6,3/29/23 15:05:04,3/29/23 15:09:33,anonymous,,E2,4,,4,"the instructions were the same every time placing an object on a certain mat, so I can't tell if it was unnatural or not",5,,5,"add different instructions, otherwise everything is perfect, well done."
7,3/29/23 15:15:55,3/29/23 15:18:04,anonymous,,B3,3,"(Follower) Thank you bye
(Leader) I don't understand, can you rephrase.",4,,4,,3,LeaderBot seems a bit stiff in its understanding it looks like it get lost easily if some special keyword are not given
8,3/29/23 15:21:36,3/29/23 15:22:18,anonymous,,C2,3,,3,,3,,3,
9,3/29/23 15:17:22,3/29/23 15:22:30,anonymous,,D1,3,Its hard to say as I felt there was no real dialogue,1,it was just a list of actions for me to fill,5,,1,"It didn't feel like a conversation, it felt like it should have asked me for some more questions"
10,3/29/23 15:20:32,3/29/23 15:24:41,anonymous,,F1,5,n/a,4,"Repeatedly specifying ""... on the mat"" and needing to request clarification.  (The first few times were very natural thought)",4,"Good, but did not adapt to repeated clarification.",4,Sometimes at random indicate the Matt.
11,3/29/23 15:28:08,3/29/23 15:30:21,anonymous,,B4,3,"What should i do now?
(LeaderBot) I don't understand, can you rephrase.",4,,4,,4,"Understand a wider variety of input
"
12,3/29/23 15:33:16,3/29/23 15:36:34,anonymous,,E2,3,"I noticed that the bot specifies the mat location, put when I ask it about object(apple, pan..etc) location it does not understand that and tells the mat location",4,,4,,4,
13,3/29/23 15:35:40,3/29/23 15:36:35,anonymous,,C3,3,,3,,4,,3,
14,3/29/23 15:33:41,3/29/23 15:37:05,anonymous,,F2,3,Acknowledging completion other than variations of done can cause issues.,4,Possible to clear/explicit to be natural.,5,n/a,4,"Allowed discussion on completion / comparing scenes.  Understood ""OK - moved the pan"" = done"
15,3/29/23 15:37:23,3/29/23 15:39:41,anonymous,,A1,3,When I asked what is the next step,4,"When there were errors shown, it make the utterances not natural",4,,4,Maybe use natural language to identify objects and not object ID code
16,3/29/23 15:38:31,3/29/23 15:42:03,anonymous,,D2,2,"It understood done, but I made a mistake and put the vase on the wrong square, and it was unable to correct me when it asked me to put another item there",1,,2,"I said the mat had a vase on it, that I accidently put there and it did not give me a command to correct me",2,It should be able to correct me
17,3/29/23 15:40:07,3/29/23 15:43:17,anonymous,,B5,3,"(user) which orange mat
(LeaderBot) Yes. The mat is orange",4,,2,"The LeaderBot was not giving details to identify the different mat by himself like in other games I played, I had to ask him and sometime that created confusion, like:
(user) which orange mat
(LeaderBot) Yes. The mat is orange
Also mat that have similar color like Indigo and Violet are hard to differentiate",3,
18,3/29/23 15:42:56,3/29/23 15:48:29,anonymous,,G1,3,There was an issue with placing objects onto the mat. ,4,"It could have been more specific. Instead of saying to place it on the mat everytime, would be more natural to have sometimes saying place it on the blue mat, sometime say place it on the mat and have the option to be as spicific as it can be as put it on the blue circle shaped mat.  ",5,,4,When I told the robot that I did place the apple on the mat it continued telling me to place it on the mat again. Although this is also due to the lack of my understanding as it was my first action.
19,3/29/23 15:48:39,3/29/23 15:51:28,anonymous,,F3,4,Good when I type better.  eco variation comments from earlier survey.,4,Natural but stern control freak.,5,Too good.,4,It felt like the Leader could see my scene.
20,3/29/23 15:51:42,3/29/23 15:52:49,anonymous,,E3,4,,4,,3,,4,
21,3/29/23 15:50:37,3/29/23 15:52:53,anonymous,,A2,3,Didn't know when to start the game,4,"When I asked question such as do you have ""this item"", it either does not understand or gives me the color which is not What was asked.",4,When it ask to rephrase without any context to what to rephrase ,4,"Understand commands more, can refer to items in their natural form such as apple instead of #13 or #19"
