,precision,recall,f1-score,support
affirm,0.9558823529411765,0.9420289855072463,0.9489051094890512,69.0
ask_colour,0.7945205479452054,1.0,0.8854961832061068,58.0
ask_general,0.8846153846153846,0.8313253012048193,0.8571428571428571,166.0
ask_next_step,0.9841269841269841,0.8526522593320236,0.9136842105263159,509.0
ask_numbers,0.3125,1.0,0.47619047619047616,5.0
ask_pos,0.75,0.20689655172413793,0.32432432432432434,29.0
ask_shape,0.9090909090909091,0.9090909090909091,0.9090909090909091,11.0
ask_state,0.625,1.0,0.7692307692307693,10.0
deny,0.42105263157894735,0.8,0.5517241379310345,10.0
done_it,0.8168604651162791,0.9790940766550522,0.8906497622820919,287.0
greet,0.890625,0.9661016949152542,0.9268292682926829,59.0
nlu_fallback,0.05555555555555555,0.058823529411764705,0.05714285714285714,17.0
not_have_obj,1.0,0.3333333333333333,0.5,3.0
rcpt_not_empty,1.0,0.5,0.6666666666666666,6.0
wait,0.0,0.0,0.0,0.0
accuracy,0.8692493946731235,0.8692493946731235,0.8692493946731235,0.8692493946731235
macro avg,0.6933219887313627,0.6919564427449694,0.6451385021010762,1239.0
weighted avg,0.8882228911615477,0.8692493946731235,0.8684027059386125,1239.0
